player_name,gp
Alan Anderson,330
Mario Hezonja,330
Luka Doncic,330
Ian Clark,330
Chris Mills,329
Daequan Cook,328
Randy Brown,328
Timothe Luwawu-Cabarrot,328
Cameron Payne,327
Matt Bullard,327
Brandon Roy,326
Eric Montross,326
Shammond Williams,325
Mirza Teletovic,324
Chris Dudley,324
Ron Harper,320
Nikola Mirotic,319
Bryant Reeves,318
Lawrence Funderburke,318
Aaron Gray,318
Bostjan Nachbar,317
Boban Marjanovic,317
Ben Simmons,317
Rodney McGruder,317
Frank Ntilikina,316
Dana Barros,316
Ime Udoka,316
Josh Powell,316
Josh Okogie,316
Adam Keefe,315
Jake Tsakalidis,315
Brian Roberts,314
Shawne Williams,314
Thomas Robinson,313
Devonte' Graham,313
Daniel Theis,313
De'Anthony Melton,312
Shai Gilgeous-Alexander,311
Jabari Parker,310
Jaren Jackson,310
Elliot Perry,309
Aaron Holiday,308
Vinny Del Negro,308
Andre Roberson,307
Chris Boucher,307
Popeye Jones,306
Lee Nailon,306
Michael Jordan,306
Rondae Hollis-Jefferson,305
Jevon Carter,304
Glenn Robinson III,304
Deandre Ayton,303
Eddie Griffin,303
Otis Thorpe,302
Chucky Brown,302
Emmanuel Mudiay,302
Michael Smith,302
Landry Shamet,302
Bryant Stith,302
OG Anunoby,301
Dan Dickau,300
Rodney Carney,299
Antoine Wright,297
Troy Brown Jr.,297
Al Thornton,296
DeAndre' Bembry,296
Mark Bryant,295
Matt Maloney,295
Dion Glover,294
Furkan Korkmaz,293
Alexis Ajinca,293
Austin Daye,293
Alex Caruso,292
Detlef Schrempf,292
Marquese Chriss,292
Hilton Armstrong,292
Miles Bridges,291
Josh Jackson,291
Damion Lee,290
Mitchell Robinson,289
Tim Frazier,289
Marcus Fizer,289
Christian Wood,289
Grant Williams,288
Jeff Hornacek,287
Casey Jacobsen,287
Jamario Moon,286
Michael Stewart,286
Andrew Nicholson,285
Semi Ojeleye,284
Khem Birch,282
Duncan Robinson,281
Jordan Crawford,281
Solomon Jones,281
Matt Geiger,281
Jerian Grant,279
Shabazz Muhammad,278
Predrag Drobnjak,278
Justin Jackson,278
Chris Mullin,278
Eddie Robinson,278
Mark Strickland,277
Nick Anderson,276
Mo Bamba,275
Kevin Knox II,275
Smush Parker,274
Anfernee Simons,273
Donte DiVincenzo,273
Billy Owens,272
Yi Jianlian,272
Nikola Pekovic,271
Darius Miller,271
RJ Barrett,271
Malik Sealy,270
Dennis Smith Jr.,270
Vladimir Stepania,270
Gary Trent Jr.,270
Pablo Prigioni,270
Terance Mann,270
Jared Sullinger,269
Coby White,269
Sterling Brown,268
Sherman Douglas,268
Eric Maynor,267
Jaren Jackson Jr.,267
Kris Dunn,267
Matisse Thybulle,267
Jim McIlvaine,266
Collin Sexton,266
John Amaechi,266
Jordan Poole,266
Tyrone Corbin,265
Hollis Thompson,265
Grayson Allen,264
Robert Pack,264
Lonnie Walker IV,264
Hamidou Diallo,263
Thon Maker,263
Dee Brown,262
Slava Medvedenko,262
Jonathan Bender,262
Will Perdue,261
Earl Clark,261
AJ Price,261
Jelani McCoy,260
P.J. Washington,260
Wendell Carter Jr.,260
Cedric Henderson,260
Derrick McKey,259
Danuel House Jr.,259
Yogi Ferrell,259
Jonathon Simmons,258
Doug Overton,256
Josh Boone,256
Shane Larkin,256
Denzel Valentine,256
Tyrone Nesby,255
Landry Fields,255
Shake Milton,254
John Crotty,254
Donte Greene,253
Rik Smits,253
Moritz Wagner,253
Kenrich Williams,253
Luc Longley,253
Anthony Randolph,252
Chris Crawford,252
Lonzo Ball,252
Cristiano Felicio,252
Svi Mykhailiuk,252
Dale Ellis,251
Donatas Motiejunas,251
Tom Hammonds,250
Jeremy Evans,250
Darius Garland,250
Vernon Maxwell,250
Dennis Scott,249
Felipe Lopez,249
Sam Young,249
Rudy Fernandez,249
Rashad McCants,249
Drew Eubanks,248
Ja Morant,248
Scott Burrell,247
Cory Alexander,247
Daniel Gafford,247
James Anderson,247
Isaiah Hartenstein,247
Jiri Welsch,247
Jahlil Okafor,247
Jerome Kersey,246
Armen Gilliam,246
Zach Collins,245
Dante Exum,245
Muggsy Bogues,245
Naz Reid,245
Jarred Vanderbilt,244
Cartier Martin,243
Felton Spencer,243
Bryce Drew,243
James Singleton,243
Jake Layman,243
Justin Anderson,242
John Lucas III,242
Tyler Herro,242
Chris Quinn,241
Jaxson Hayes,241
Jimmer Fredette,241
Damian Jones,240
Leon Powe,239
Stephen Graham,239
Pete Chilcutt,238
Larry Sanders,238
Brandon Clarke,237
David Nwaba,237
Chris Carr,237
Ryan Arcidiacono,237
Jeff Ayres,237
JaKarr Sampson,236
Tariq Abdul-Wahad,236
Isaiah Canaan,235
Terrence Jones,234
DJ Mbenga,234
Michael Sweetney,233
Mike Wilks,233
Derek Strong,232
Julian Wright,231
Keita Bates-Diop,230
Rodney Buford,230
Eldridge Recasner,230
Sean Marks,230
Thomas Bryant,229
Saddiq Bey,229
Darius Bazley,228
Oliver Miller,228
Terence Davis,227
Emanual Davis,226
Terry Mills,226
Wes Iwundu,226
Ike Diogu,225
Todd Fuller,225
Cameron Johnson,225
Hasheem Thabeet,224
Anthony Goldwire,224
Keldon Johnson,224
Rex Chapman,224
Loy Vaught,223
Anthony Edwards,223
Reggie Slater,223
Todd MacCulloch,223
Immanuel Quickley,223
Chris Douglas-Roberts,222
T.J. Warren,221
Renaldo Balkman,221
Tarik Black,220
Reggie Williams,219
Cedric Ceballos,219
Chris Johnson,218
Donald Sloan,218
Rodney White,218
Luke Kornet,217
Nickeil Alexander-Walker,217
Marcus Williams,216
Zeljko Rebraca,215
Loren Woods,215
Frank Jackson,214
Luguentz Dort,213
Damyean Dotson,213
Deni Avdija,212
Jaden McDaniels,212
Michael Dickerson,212
Kirk Snyder,211
Isaac Okoro,210
Rui Hachimura,210
Robert Williams III,209
